Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,Max_speed,Track,Is_turnaround
1,SouthStation_7,19,100,60,30,2,804.672,"709,609.60",0,804.672,10,7,1
2,BackBay_7,20,100,60,30,1,112.65408,109.60608,2076.05376,2188.70784,10,7,0
3,Lansdowne_7,21,100,60,30,1,225.30816,222.26016,3878.51904,4103.8272,10,7,0
37,WestStation_7,40,100,60,30,1,225.30816,222.26016,6271.511,6496.81916,10,7,0
4,BostonLanding_7,22,100,30,30,1,225.30816,222.26016,7322.5152,7547.82336,10,7,0
38,NewtonCorner_7,41,100,30,30,1,225.30816,222.26016,11036,11261.30816,10,7,0
5,Newtonville_7,23,100,30,30,1,418.42944,415.38144,12778.19136,13196.6208,10,7,0
6,WestNewton_7,24,100,30,30,1,257.49504,254.44704,15031.27296,15288.768,10,7,0
7,Auburndale_7,25,100,30,30,1,321.8688,318.8208,16576.2432,16898.112,10,7,0
8,WellesleyFarms_7,26,100,30,30,1,112.65408,109.60608,20197.2672,20309.92128,10,7,0
9,WellesleyHills_7,27,100,30,30,1,112.65408,109.60608,21613.48992,21726.144,10,7,0
10,WellesleySquare_7,28,100,30,30,1,112.65408,109.60608,23786.10432,23898.7584,10,7,0
11,NatickCenter_7,29,70,30,30,1,96.56064,93.51264,28340.54784,28437.10848,10,7,0
12,WestNatick_7,30,100,30,30,1,112.65408,109.60608,32074.22592,32186.88,10,7,0
13,Framingham_7,31,100,60,30,1,112.65408,109.60608,34810.11072,34922.7648,10,7,1
14,Ashland_7,32,100,30,30,1,112.65408,109.60608,40475.0016,40587.65568,10,7,0
15,Southborough_7,33,100,30,30,1,112.65408,109.60608,44096.0256,44208.67968,10,7,0
16,Westborough_7,34,100,30,30,1,112.65408,109.60608,54395.8272,54508.48128,10,7,0
17,Grafton_7,35,100,30,30,1,112.65408,109.60608,58660.5888,58773.24288,10,7,0
39,UMass_7,42,100,30,30,1,112.65408,109.60608,65000,65112.65408,10,7,0
18,Worcester_7,36,100,60,30,1,112.65408,109.60608,71342.21952,71454.8736,10,7,1
19,SouthStation_5,1,100,60,30,1,304.8,301.752,0,304.8,10,5,1
20,BackBay_5,2,100,60,30,1,112.65408,109.60608,2076.05376,2188.70784,10,5,0
21,Lansdowne_5,3,100,60,30,1,225.30816,222.26016,3878.51904,4103.8272,10,5,0
40,WestStation_5,37,100,60,30,1,225.30816,222.26016,6271.511,6496.81916,10,5,0
22,BostonLanding_5,4,100,30,30,1,225.30816,222.26016,7322.5152,7547.82336,10,5,0
41,NewtonCorner_5,38,100,30,30,1,225.30816,222.26016,11036,11261.30816,10,5,0
23,Newtonville_5,5,50,30,30,1,418.42944,415.38144,12778.19136,13196.6208,10,5,0
24,WestNewton_5,6,50,30,30,1,257.49504,254.44704,15031.27296,15288.768,10,5,0
25,Auburndale_5,7,50,30,30,1,321.8688,318.8208,16576.2432,16898.112,10,5,0
26,WellesleyFarms_5,8,100,30,30,1,112.65408,109.60608,20197.2672,20309.92128,10,5,0
27,WellesleyHills_5,9,100,30,30,1,112.65408,109.60608,21613.48992,21726.144,10,5,0
28,WellesleySquare_5,10,100,30,30,1,112.65408,109.60608,23786.10432,23898.7584,10,5,0
29,NatickCenter_5,11,100,30,30,1,96.56064,93.51264,28340.54784,28437.10848,10,5,0
30,WestNatick_5,12,100,30,30,1,112.65408,109.60608,32074.22592,32186.88,10,5,0
31,Framingham_5,13,100,60,30,1,112.65408,109.60608,34810.11072,34922.7648,10,5,1
32,Ashland_5,14,100,30,30,1,112.65408,109.60608,40475.0016,40587.65568,10,5,0
33,Southborough_5,15,100,30,30,1,112.65408,109.60608,44096.0256,44208.67968,10,5,0
34,Westborough_5,16,100,30,30,1,112.65408,109.60608,54395.8272,54508.48128,10,5,0
35,Grafton_5,17,100,30,30,1,112.65408,109.60608,58660.5888,58773.24288,10,5,0
42,UMass_5,39,100,30,30,1,112.65408,109.60608,65000,65112.65408,10,5,0
36,Worcester_5,18,100,60,30,1,112.65408,109.60608,71342.21952,71454.8736,10,5,1
